"Player","Team","MXG","Goals","Loops","Degree"
"E. Rivière","Metz",3.68452516685772,5,219,1362
"D. Alli","Tottenham Hotspur",3.68047710758378,9,414,2437
"Y. Bammou","Nantes",3.64962288914512,3,324,897
"M. Wagué","Watford",3.6425945963822,1,24,233
"A. Mehmedi","Wolfsburg",3.64162444715964,1,25,216
"F. Caicedo","Lazio",3.63727339550519,3,88,545
"T. Abraham","Swansea City",3.59544997898388,5,523,1487
"D. Sakho","Rennes",3.594247344157,2,72,399
"R. Pereyra","Watford",3.59410619380446,5,191,1204
"L. Sané","Manchester City",3.57751925624575,10,348,1990
"R. Mahrez","Leicester City",3.52850448084314,12,442,2632
"Markel Bergara","Getafe",3.50516166430236,4,96,759
"R. Hamouma","Saint-Étienne",3.49327425603371,5,155,1172
"J. Lingard","Manchester United",3.46982893800941,8,439,1926
"Guerrero","Leganés",3.45886318453961,4,150,931
"F. Johnson","Borussia M'gladbach",3.43472309321248,1,26,229
"Nuno Da Costa","Strasbourg",3.42450074535577,5,477,1393
"Malcom","Bordeaux",3.41343084587925,12,751,2972
"Y. Carrasco","Atlético Madrid",3.40430559830622,3,181,695
"Iñaki Williams","Athletic Club",3.40422145457592,7,372,1722
"T. Hazard","Borussia M'gladbach",3.40039123070596,10,437,2451
"S. Khaoui","Troyes",3.3686375596518,5,218,1357
"X. Shaqiri","Stoke City",3.35794341221242,8,351,2057
"M. Cáceres","Hellas Verona",3.35618041728685,3,71,799
"Ibai Gómez","Deportivo Alavés",3.34665863218493,7,212,1520
"D. Rolán","Málaga",3.33787871718368,5,558,1766
"A. Hunou","Rennes",3.32866418733545,5,102,924
"L. Milivojević","Crystal Palace",3.32364802230495,10,273,2548
"D. Origi","Wolfsburg",3.32151753951518,6,496,1591
"L. Rémy","Getafe",3.31367593883135,3,265,755
"P. Pellegri","Genoa",3.24673341033451,2,463,832
"B. Jeannot","Dijon",3.24352371535792,4,133,909
"J. Brandt","Bayer Leverkusen",3.243511426542,9,268,1954
"Hernani","Saint-Étienne",3.2400410104234,3,244,792
"Paulinho","Barcelona",3.23121366905411,9,192,1915
"A. Ljajić","Torino",3.22961696984157,6,253,1777
"A. Gray","Watford",3.22793086356546,5,632,1614
"J. King","AFC Bournemouth",3.2125571466313,8,481,1932
"A. King","Swansea City",3.20945128841242,2,34,495
"A. Carroll","West Ham United",3.18883919553139,3,143,701
"R. Quaison","Mainz 05",3.17234773645896,4,168,822
"P. Crouch","Stoke City",3.13631093225104,5,416,1531
"C. Grenier","Guingamp",3.12468417774789,5,111,1096
"M. Diouf","Stoke City",3.06937914025946,6,397,1722
"J. Guidetti","Deportivo Alavés",3.06141189270886,3,109,720
"G. Caprari","Sampdoria",3.05666274833561,5,230,1321
"S. Vokes","Burnley",3.03265519954789,4,328,1106
"M. Debuchy","Saint-Étienne",3.00466811181354,4,106,1194
"Luis Alberto","Lazio",2.992350584929,11,364,2624
"G. Pandev","Genoa",2.98602187871188,5,419,1562
"M. Gradel","Toulouse",2.9839303677478,8,539,2180
"M. Coda","Benevento",2.9778867038159,4,577,1435
"N. Bentaleb","Schalke 04",2.9692793172909,4,90,808
"Á. Correa","Atlético Madrid",2.9599084563979,8,385,1896
"S. El Shaarawy","Roma",2.94947129419597,7,249,1775
"L. Bittencourt","Köln",2.94010755075851,5,233,1343
"D. Gayle","Newcastle United",2.92274370008295,6,526,1594
"Etxeita","Athletic Club",2.92196231803007,1,19,246
"F. Cassata","Sassuolo",2.89318645584967,1,54,274
"J. Rodriguez","West Bromwich Albion",2.87068217551973,7,277,1607
"Ganso","Sevilla",2.86359102964207,2,39,498
"C. Eriksen","Tottenham Hotspur",2.83292353710908,11,339,3340
"M. Rashica","Werder Bremen",2.80647987332486,1,82,298
"C. Santos","Deportivo Alavés",2.79786210915029,2,277,651
"I. Sarr","Rennes",2.78337212020426,5,274,1136
"A. Sánchez","Arsenal",2.77744028814413,7,262,1543
"P. van Aanholt","Crystal Palace",2.75540640588281,5,157,1628
"J. Izquierdo","Brighton & Hove Albion",2.74864786561454,5,414,1522
"T. Müller","Bayern München",2.73225318598361,8,170,1542
"Iuri Medeiros","Genoa",2.72926512394167,2,325,814
"S. Gakpé","Amiens SC",2.72596739643814,3,152,952
"B. Ideye","Málaga",2.69132535600056,1,73,386
"T. Deeney","Watford",2.66307091149406,5,367,1585
"J. Bednarek","Southampton",2.64240165562774,1,16,268
"I. Perišić","Internazionale",2.61407316197665,11,418,2715
"Deulofeu","Watford",2.5962218703728,1,57,309
"Borja Valle","Deportivo La Coruña",2.59534805335295,3,688,1428
"J. Blayac","Strasbourg",2.57574271786461,3,299,998
"M. Rashford","Manchester United",2.57537155987052,7,458,1846
"E. Brignola","Benevento",2.56936356876622,3,248,1025
"Y. Ōsako","Köln",2.55753516124071,4,224,1228
"Chory Castro","Málaga",2.55635031911197,4,271,1614
"S. Mendoza","Amiens SC",2.55080907851641,2,139,678
"D. Welbeck","Arsenal",2.55038317592789,5,567,1443
"N. Sliti","Dijon",2.55007299218983,7,577,2075
"B. Cristante","Atalanta",2.5260018467568,9,428,2663
"Gálvez","Eibar",2.51431223822249,1,28,286
"J. Ayew","Swansea City",2.49344936381203,7,513,2247
"Diego Costa","Atlético Madrid",2.48468644774744,3,173,799
"L. Ulloa","Brighton & Hove Albion",2.46853833367402,1,54,282
"J. Kurtič","Atalanta",2.46845164921911,2,77,538
"A. Szymanowski","Leganés",2.4635488803799,2,104,618
"D. Sakho","West Ham United",2.45497800771545,2,288,688
"I. Bebou","Hannover 96",2.42596989994331,5,335,1458
"Y. En-Nesyri","Málaga",2.40941984460812,4,854,2079
"G. Defrel","Roma",2.40493693609619,1,64,305
"I. Belfodil","Werder Bremen",2.39548747572007,4,531,1484
"B. Kapustka","Freiburg",2.36517605013023,1,221,438
"J. Bamba","Saint-Étienne",2.3648776444827,7,366,2157
"Denis Suárez","Barcelona",2.33701896085449,2,101,594
"A. Ramsey","Arsenal",2.32009563876909,7,216,1821
"Y. Gourcuff","Rennes",2.30299154270165,1,33,286
"Jordi Mboula","Monaco",2.30282039792178,1,13,183
"A. Barák","Udinese",2.27427155341934,7,334,1976
"L. Šimić","SPAL",2.26757856726624,1,33,303
"K. Iheanacho","Leicester City",2.26200810004423,3,580,1231
"G. Bonaventura","Milan",2.25007255119544,8,469,2512
"Rubén Rochina","Levante",2.24887593121503,1,222,443
"Jonathas","Hannover 96",2.23374056945374,3,562,1170
"A. Petagna","Atalanta",2.23149429433533,4,257,1155
"Guilherme","Benevento",2.22500842456725,2,128,697
"A. El Ghazi","Lille",2.21535342316088,4,212,1141
"D. Perotti","Roma",2.20966459974375,5,384,1610
"O. Dembélé","Barcelona",2.17262074416249,3,184,875
"Y. Mallı","Wolfsburg",2.16781356050967,5,484,1798
"Ayoze Pérez","Newcastle United",2.16657526162624,8,745,2393
"S. Ngom","Nantes",2.1553983812571,1,79,371
"B. N'Diaye","Stoke City",2.14862278076225,2,117,722
"M. Cornet","Olympique Lyonnais",2.14657491559251,4,202,1017
"I. Saadi","Strasbourg",2.12656942659737,4,876,1845
"R. Cabella","Saint-Étienne",2.12332711122008,7,408,2440
"José Callejón","Napoli",2.08957144658575,9,162,2345
"A. Halilović","Las Palmas",2.0876160579237,2,199,890
"B. Bourigeaud","Rennes",2.08717483902808,10,234,2514
"S. Kagawa","Borussia Dortmund",2.07264465358344,5,116,1077
"G. Laborde","Bordeaux",2.02833028104737,3,294,1001
"A. Cornelius","Atalanta",2.0236161856285,3,342,1042
"L. Ocampos","Olympique Marseille",2.0142560993329,9,315,1635
"S. Milinković-Savić","Lazio",2.01400362604591,12,525,3106
"A. Lazaar","Benevento",2.00654178309935,1,66,321
"S. Zoller","Köln",2.00027929736427,2,283,828
"G. Kakuta","Amiens SC",1.99626081802774,6,451,2493
"M. Diallo","Guingamp",1.99358029430118,5,333,1483
"P. Iemmello","Benevento",1.99204776385523,2,464,1039
"R. Camara","Guingamp",1.98401315833382,2,118,563
"L. Depoitre","Huddersfield Town",1.96859992712507,6,1350,3037
"N. Barella","Cagliari",1.9664727498257,6,416,2637
"S. Darbion","Troyes",1.96017657148661,3,155,1175
"F. Kostić","Hamburger SV",1.95363660279827,5,547,1947
"M. Kruse","Werder Bremen",1.94906686239301,6,246,2143
"M. Maolida","Olympique Lyonnais",1.93415220767088,1,64,274
"Coke","Levante",1.91937033635099,3,135,1074
"J. Błaszczykowski","Wolfsburg",1.91843826696049,1,46,344
"E. Thommy","Stuttgart",1.91395658119416,2,98,659
"D. Falcinelli","Sassuolo",1.91348603475967,2,131,676
"Willian","Chelsea",1.90593999591601,6,557,2144
"H. Manzala","Amiens SC",1.90139717452996,4,487,1724
"Ramis","Eibar",1.90075826380553,3,76,962
"R. Fraser","AFC Bournemouth",1.89567562224579,5,166,1539
"J. Cuadrado","Juventus",1.89156986905436,4,170,1291
"J. McArthur","Crystal Palace",1.88055124683058,5,224,1951
"K. Benzema","Real Madrid",1.87639717281172,5,203,1367
"A. Delort","Toulouse",1.86816858846976,5,309,1669
"P. Groß","Brighton & Hove Albion",1.8637344601957,7,468,2487
"Brandon","Rennes",1.85872177559611,1,51,260
"A. King","Leicester City",1.82939082610289,1,22,319
"Luiz Araújo","Lille",1.82778732925044,5,545,1794
"H. Çalhanoğlu","Milan",1.82293616097991,6,245,2013
"Joan Jordán","Eibar",1.81222569579734,6,454,2266
"E. Choupo-Moting","Stoke City",1.80111552181017,5,1011,2483
"Jorge Molina","Getafe",1.79378195205152,7,367,2131
"Á. Nagy","Bologna",1.78521672625493,1,57,387
"Q. Cornette","Amiens SC",1.78188895428048,1,254,578
"S. Terodde","Stuttgart",1.78106086427181,2,104,572
"Eder","Internazionale",1.7639284494287,3,90,832
"Pablo Sarabia","Sevilla",1.74798642524388,6,253,1985
"H. Robson-Kanu","West Bromwich Albion",1.73775152715609,2,130,602
"Toni Moya","Atlético Madrid",1.72754522738876,0,0,1
"B. Sako","Crystal Palace",1.72251590244616,3,916,1718
"T. Inui","Eibar",1.71631347991183,5,318,1773
"M. Niang","Torino",1.71313505381681,4,529,1595
"L. Stindl","Borussia M'gladbach",1.70453410839991,6,349,2570
"S. Rondón","West Bromwich Albion",1.70158828797435,7,515,2225
"Jonathan Viera","Las Palmas",1.70114967408199,4,361,2254
"A. Galabinov","Genoa",1.70038583930136,3,443,1374
"E. Lamela","Tottenham Hotspur",1.69628921307958,2,143,812
"F. Bartels","Werder Bremen",1.69438023680857,2,142,782
"D. Tadić","Southampton",1.69390148107254,6,399,2198
"Vitolo","Las Palmas",1.6937342043293,1,116,630
"P. Nakoulma","Nantes",1.69102085230838,3,654,1571
"F. Tait","Angers",1.67890427615112,4,331,1769
"A. Cerci","Hellas Verona",1.66291985786984,3,431,1316
"J. Deminguet","Caen",1.65192109906593,1,68,451
"P. De Blasis","Mainz 05",1.6500626185267,5,354,1606
"Bernardo Silva","Manchester City",1.64876272793936,6,201,1587
"Borja Bastón","Málaga",1.6448159598425,2,695,1456
"D. Brašanac","Leganés",1.64441895364382,2,120,784
"R. Rodelin","Caen",1.63098637537075,5,351,2293
"F. Orellana","Eibar",1.62332914717319,3,189,1128
"Samu Castillejo","Villarreal",1.60005797420922,6,388,1975
"R. Palacio","Bologna",1.58177416928288,4,334,1581
"G. N'Gosso","Amiens SC",1.56829812783246,1,36,465
"A. Ranocchia","Internazionale",1.56292179043771,2,46,465
"F. Klaus","Hannover 96",1.55344115828507,4,175,1380
"B. Embolo","Schalke 04",1.54632121701115,3,382,1000
"M. Lanzini","West Ham United",1.50713734255373,5,234,1832
"M. Valoti","Hellas Verona",1.4949761257102,3,344,1391
"Adrián","Málaga",1.4921643128024,3,179,1711
"G. Puşcaş","Benevento",1.48939288436929,1,67,361
"D. Cheryshev","Villarreal",1.46925960780447,2,123,695
"P. Ntep","Saint-Étienne",1.46027540937291,1,70,385
"A. Fulgini","Angers",1.45867526564575,3,347,1486
"Eraso","Leganés",1.45675002748976,4,411,1794
"Sergi Enrich","Eibar",1.45061578129275,3,359,1272
"Gabriel","Leganés",1.44461885323426,5,322,2140
"M. Terrier","Strasbourg",1.44242871410927,3,366,1333
"Nolito","Sevilla",1.44175815379367,4,427,1591
"Q. Beunardeau","Metz",1.44032759000379,0,0,18
"Jesé Rodríguez","Stoke City",1.43547068758744,1,91,458
"C. Beauvue","Leganés",1.43427652974003,2,128,856
"E. Ünal","Levante",1.43023797418221,1,65,364
"Marcos Alonso","Chelsea",1.42195999584737,7,212,2430
"L. Tonelli","Napoli",1.41674932953833,1,18,304
"L. De Silvestri","Torino",1.41178318338757,5,289,2576
"A. Esswein","Hertha BSC",1.37167287545674,2,316,807
"Lee Seung-Woo","Hellas Verona",1.36400521325606,1,230,551
"J. Campbell","Real Betis",1.35820320877019,2,268,649
"A. Thomasson","Nantes",1.35657831280173,5,472,2452
"David Silva","Manchester City",1.34152942443461,9,366,3223
"Medrán","Deportivo Alavés",1.33322364625451,2,127,764
"F. Chiesa","Fiorentina",1.32918648408577,6,511,2230
"J. Aholou","Strasbourg",1.32793711740158,5,231,2069
"L. Ceppitelli","Cagliari",1.32182813743486,3,186,1734
"M. Pucciarelli","Chievo",1.31760824300807,2,335,1064
"R. Hack","Hoffenheim",1.30480057937882,1,240,386
"D. Berardi","Sassuolo",1.29768131248181,4,283,1766
"A. Mehmedi","Bayer Leverkusen",1.29619324641146,2,96,683
"S. Arfield","Burnley",1.29055157417451,2,99,728
"G. Sigurðsson","Everton",1.28877972688485,4,455,1838
"Pedro","Chelsea",1.28281355369222,4,586,1741
"Caiuby","Augsburg",1.27823674499598,5,426,2174
"B. Höwedes","Juventus",1.27325768424794,1,13,249
"S. Clucas","Swansea City",1.26913024435214,3,293,1556
"A. Robben","Bayern München",1.26201683803765,5,269,1377
"L. Waldschmidt","Hamburger SV",1.25913342668377,1,78,486
"Gonçalo Guedes","Valencia",1.25842003544415,5,420,1866
"S. Córdova","Augsburg",1.25436033194126,2,336,931
"B. Nivet","Troyes",1.25072984619794,2,117,1108
"Laguardia","Deportivo Alavés",1.24962325290926,2,57,812
"Y. Konoplyanka","Schalke 04",1.22109286472642,4,452,1340
"A. Doucouré","Watford",1.20392836617907,7,369,3235
"M. Borriello","SPAL",1.20100222210283,1,81,396
"J. Veretout","Fiorentina",1.19396703506322,8,318,3020
"Dani Ceballos","Real Madrid",1.19172397491411,2,75,523
"W. Hughes","Watford",1.19059937912243,2,318,1079
"P. Pogba","Manchester United",1.18570134684182,6,388,2622
"A. Oxlade-Chamberlain","Liverpool",1.18546997868043,3,219,1291
"P. Souaré","Crystal Palace",1.15494665237861,0,0,11
"B. Zuculini","Hellas Verona",1.1508848751871,2,113,1024
"D. Verde","Hellas Verona",1.14978966900139,2,160,1029
"M. Antonio","West Ham United",1.14085254963834,3,248,1103
"Ramadan Sobhi","Stoke City",1.13370721783133,2,366,1142
"J. Arp","Hamburger SV",1.12670981856138,2,113,897
"D. Da Silva","Caen",1.12399402415588,4,178,2044
"P. Sisto","Celta de Vigo",1.12079434408088,5,442,2006
"F. Kainz","Werder Bremen",1.11461976631699,3,397,1600
"D. Gray","Leicester City",1.10403484685207,3,255,1197
"A. Ciciretti","Benevento",1.10079720628312,2,328,946
"M. Leckie","Hertha BSC",1.0942386117797,5,540,1967
"G. Rossi","Genoa",1.08844654208713,1,272,659
"F. Vázquez","Sevilla",1.08383180948522,4,290,1659
"A. Grassi","SPAL",1.08273755389678,3,162,1370
"Choco Lozano","Girona",1.08203661483515,1,82,337
"N. de Préville","Bordeaux",1.07622222795112,4,355,1575
"A. Gómez","Atalanta",1.06871984122063,6,507,2492
"J. Durmaz","Toulouse",1.06104473395737,3,591,1643
"B. Wood","Hamburger SV",1.05342460177337,2,223,1020
"L. Rupp","Hoffenheim",1.04559313754464,3,179,952
"João Mário","West Ham United",1.04530375051684,2,114,793
"P. Schick","Roma",1.0451059388306,2,134,788
"M. Benassi","Fiorentina",1.0445696135605,5,197,2067
"Y. Salibur","Guingamp",1.03870407715544,3,240,1104
"B. Sagna","Benevento",1.03028937360739,1,67,956
"M. Gómez","Wolfsburg",1.01769171216881,1,70,471
"M. Rohdén","Crotone",1.00390436723683,2,125,967
"Richarlison","Watford",1.00285035154616,5,456,2227
"C. Kouakou","Caen",0.994490440320988,1,99,582
"S. Salihović","Hamburger SV",0.982432660088421,1,271,681
"D. Liénard","Strasbourg",0.981067788461019,5,283,2402
"D. Baselli","Torino",0.973843900188513,4,289,2098
"C. Benschop","Hannover 96",0.971731835761489,1,234,583
"F. Mubele","Toulouse",0.965799034180918,1,261,600
"C. Benteke","Crystal Palace",0.962402277575279,3,283,1672
"L. Insigne","Napoli",0.961718949197802,8,397,3512
"Timor","Girona",0.961490106324163,2,60,691
"D. Calvert-Lewin","Everton",0.956381079806192,4,502,1776
"M. Lemos","Sassuolo",0.955497251498173,1,32,416
"L. Rigoni","Genoa",0.955312902672972,2,300,1214
"M. Sau","Cagliari",0.951835270988795,2,832,1790
"Suso","Milan",0.95179031445673,6,504,2628
"Diego González","Málaga",0.936235383894314,1,75,907
"J. Roussillon","Montpellier",0.934595308996109,3,184,1497
"J. Tomkins","Crystal Palace",0.932338556846616,3,331,1833
"Álvaro Jiménez","Getafe",0.931523874225718,1,74,372
"L. Baines","Everton",0.927091353672608,2,81,1283
"Vicente Iborra","Leicester City",0.926655719096061,3,114,1337
"J. Pohjanpalo","Bayer Leverkusen",0.915500969883169,1,235,511
"Pape Diop","Olympique Lyonnais",0.914607265229961,0,1,10
"David García","Las Palmas",0.914198184008455,1,48,630
"R. Loftus-Cheek","Crystal Palace",0.907383040373134,2,334,1487
"K. Danso","Augsburg",0.889912288060373,2,114,867
"Juanpe","Girona",0.87073912089204,5,133,1847
"T. Kleindienst","Freiburg",0.869336223752384,2,166,1058
"G. Donsah","Bologna",0.865986897335688,2,191,1126
"P. Piatti","Espanyol",0.864071771736008,2,194,1306
"A. Donis","Stuttgart",0.863529968215971,2,397,925
"N. Cozza","Montpellier",0.859871164560218,1,86,509
"A. Hunt","Hamburger SV",0.853653630861686,3,220,1759
"D. Janmaat","Watford",0.849530967542478,3,356,1777
"J. Bouet","Amiens SC",0.84893756227109,0,0,36
"C. Borges","Deportivo La Coruña",0.848222875674765,3,414,2177
"L. Castro","Chievo",0.846273724531216,3,270,1743
"J. Ward-Prowse","Southampton",0.845668456110616,3,297,1588
"M. Thuram","Guingamp",0.844915826913848,3,320,1256
"Sung-Yeung Ki","Swansea City",0.844804231904732,2,106,1214
"I. Traoré","Angers",0.844125231386897,3,141,1598
"A. Hahn","Hamburger SV",0.824120458980474,3,625,1853
"Felipe Anderson","Lazio",0.822646363383683,4,273,1271
"S. Sensi","Sassuolo",0.794201646328816,2,310,1173
"S. Camara","Montpellier",0.792814292347543,2,463,1157
"G. Holtmann","Mainz 05",0.787897644742543,2,308,977
"H. Mkhitaryan","Arsenal",0.773655544993517,2,136,790
"Naldo","Schalke 04",0.773324912180669,7,199,2381
"M. Hamšík","Napoli",0.772367572478061,7,180,3036
"Bustinza","Leganés",0.769328566182253,2,89,1078
"C. Clemens","Köln",0.756557818589158,1,244,679
"Nacho Vidal","Valencia",0.754040432561737,1,30,353
"R. van La Parra","Huddersfield Town",0.75285296649929,3,654,2069
"R. Nainggolan","Roma",0.752574341371428,4,368,2174
"Y. Bounou","Girona",0.748252671331102,0,23,1021
"Sergio García","Espanyol",0.741892976653162,2,780,2013
"B. Pelé","Troyes",0.740198051680409,2,387,1404
"M. Ginter","Borussia M'gladbach",0.730528760923789,5,201,2676
"S. Davis","Southampton",0.730070363651066,3,367,1762
"Kenedy","Newcastle United",0.729890856432803,2,167,806
"André Silva","Milan",0.723583897936351,2,321,990
"L. Goretzka","Schalke 04",0.7220198476831,4,190,1555
"S. Grandsir","Troyes",0.718210515554802,3,470,2010
"S. Fofana","Udinese",0.715621762856813,3,217,1393
"P. Zieliński","Napoli",0.714901088543684,4,206,1797
"Aleix Vidal","Barcelona",0.714826814384878,1,37,401
"Erik Expósito","Las Palmas",0.712309005180259,1,528,991
"A. Pritchard","Huddersfield Town",0.704907443146567,1,91,681
"M. Layún","Sevilla",0.702055201635858,2,80,957
"S. Sanogo","Benevento",0.698785717504848,0,8,29
"Isco","Real Madrid",0.698614039056338,7,367,2354
"J. Lea Siliki","Rennes",0.689089815840134,4,408,1649
"Y. Poulsen","RB Leipzig",0.684625735052123,4,280,1378
"N. El Zhar","Leganés",0.681734507363558,2,271,1263
"P. Faragò","Cagliari",0.677600922098804,2,249,2135
"S. Pellissier","Chievo",0.676747783415294,1,289,728
"A. Taarabt","Genoa",0.675177020814886,2,234,1307
"Rubén Sobrino","Deportivo Alavés",0.675140547741421,3,656,1690
"A. Maxim","Mainz 05",0.660286025676214,2,146,843
"L. Cigarini","Cagliari",0.656348390266203,2,157,2123
"P. Mertesacker","Arsenal",0.655075193851417,1,15,310
"C. Pizarro","Köln",0.652774846388184,1,297,778
"C. Kramer","Borussia M'gladbach",0.634652470475999,3,240,2156
"Dani Parejo","Valencia",0.629125748272713,7,296,3342
"L. Höler","Freiburg",0.627012756800582,1,114,577
"P. Oniangué","Angers",0.623097025087873,1,65,631
"A. Brignoli","Benevento",0.622929540209498,1,24,611
"M. Sakho","Crystal Palace",0.620001434898541,1,70,1024
"Iraizoz","Girona",0.616606601105786,0,8,289
"H. Aouar","Olympique Lyonnais",0.614654941919298,6,362,2586
"Douglas Costa","Juventus",0.613552949750101,4,397,1731
"J. Jankto","Udinese",0.611995031928359,4,240,1813
"L. Sané","Werder Bremen",0.611926890993118,1,55,606
"L. Pellegrini","Roma",0.608429590694413,3,195,1628
"M. Mandžukić","Juventus",0.607870082786349,5,389,1876
"A. Buongiorno","Torino",0.599627399309384,0,0,9
"J. Pastore","PSG",0.59286315243844,4,306,1649
"Joselu","Newcastle United",0.59105363498486,4,606,1920
"A. Jóhannsson","Werder Bremen",0.5796142276713,1,295,764
"V. Koziello","Köln",0.577739031366264,1,54,715
"V. Vada","Bordeaux",0.573899153359662,2,74,1040
"A. Mooy","Huddersfield Town",0.573359482472483,4,246,2809
"Alfonso Pedraza","Deportivo Alavés",0.56044105963781,3,297,1498
"J. Martin","Strasbourg",0.551827951142741,4,289,2541
"I. Slimani","Leicester City",0.551085242275008,1,274,582
"N. Keïta","RB Leipzig",0.550559050484026,5,380,2088
"K. Karaman","Hannover 96",0.538797165854021,1,102,566
"Maxi López","Udinese",0.538027814751899,2,221,1001
"B. Davies","Tottenham Hotspur",0.5297305236993,2,190,2313
"D. Laxalt","Genoa",0.528875473944595,3,360,2188
"M. Noble","West Ham United",0.528524517987648,4,164,1901
"S. Ingelsson","Udinese",0.525163262455635,1,246,520
"B. Srarfi","Nice",0.514719225740919,3,504,1309
"S. Widmer","Udinese",0.512685097669532,3,135,1382
"N. Pope","Burnley",0.511380300693077,0,44,1415
"F. Ghoulam","Napoli",0.50738061736115,2,93,1179
"M. Pavlović","Angers",0.507012851488412,2,89,1239
"J. Guilavogui","Wolfsburg",0.499315504178753,3,211,1994
"D. Wass","Celta de Vigo",0.497510725563416,4,157,2281
"T. Gebre Selassie","Werder Bremen",0.492230755338824,3,220,2264
"Z. Junuzović","Werder Bremen",0.489287222300504,2,347,1569
"K. Linetty","Sampdoria",0.481304356215105,3,463,2048
"V. Pajot","Saint-Étienne",0.477570603648473,2,84,925
"M. Cáceres","Lazio",0.475668721383272,1,34,315
"M. Sanson","Olympique Marseille",0.466724835270043,8,513,2238
"Fede Cartabia","Deportivo La Coruña",0.463102876385392,2,467,1474
"J. Grimm","Strasbourg",0.462126290236597,1,67,588
"Vesga","Athletic Club",0.461318874428116,1,81,639
"D. Caligiuri","Schalke 04",0.459854599114578,6,431,2808
"Bruma","RB Leipzig",0.458239520060488,4,563,1873
"S. Okaka","Watford",0.456976220248862,1,339,756
"I. Niane","Metz",0.456488746970308,2,1215,2360
"A. Sánchez","Manchester United",0.455349596927363,2,181,1037
"E. Crivelli","Angers",0.45462882210893,1,128,641
"R. Gikiewicz","Freiburg",0.44791137256118,0,1,79
"N. Subotić","Saint-Étienne",0.446000852984412,2,58,1103
"D. Drinkwater","Chelsea",0.44497301157935,1,35,510
"Pau López","Espanyol",0.437700323138074,0,17,943
"Cristian Tello","Real Betis",0.424864622449149,4,383,1441
"E. Goldaniga","Sassuolo",0.420544455147137,1,58,586
"P. Capelle","Angers",0.420156927303537,2,492,1815
"J. Palmieri","Metz",0.418978355860418,0,88,849
"F. Ribéry","Bayern München",0.415864250223194,5,421,1584
"V. Birsa","Chievo",0.415598403136528,3,294,2211
"P. Baysse","Málaga",0.403635934483418,1,277,1161
"D. Ings","Liverpool",0.400918644096009,1,199,458
"C. Falletti","Bologna",0.399670972761328,1,479,924
"Daniel Bessa","Hellas Verona",0.396866264598316,1,178,1069
"Ivi","Levante",0.396246523389095,3,522,1811
"A. Januzaj","Real Sociedad",0.384967422183536,3,342,1416
"E. Skhiri","Montpellier",0.383294855069494,4,234,2316
"Bastos","Lazio",0.382080008204866,4,149,1323
"R. Walter","Nice",0.381989642618692,1,52,371
"J. Hector","Köln",0.381632085189608,2,184,1722
"T. Ince","Huddersfield Town",0.37664318250097,2,431,1706
"E. Lamanna","Genoa",0.373267174774583,0,1,26
"Juan Mata","Manchester United",0.368512200614987,3,141,1710
"R. de Paul","Udinese",0.367493144155219,4,541,2192
"Susaeta","Athletic Club",0.363558181264921,3,459,1995
"A. Acquah","Torino",0.361319456081219,1,116,880
"Pedro Alcalá","Girona",0.343507115356374,1,31,420
"Tana","Las Palmas",0.335684784474324,1,156,1254
"Sandro","Benevento",0.335540317187338,1,80,994
"R. Freuler","Atalanta",0.335322572244195,5,303,3040
"M. Risse","Köln",0.332311008735132,1,84,836
"Xabi Prieto","Real Sociedad",0.327788058780243,3,348,1775
"C. Tolisso","Bayern München",0.323981340958426,6,113,1664
"L. Dubois","Nantes",0.32396877779945,3,322,2822
"M. Jojić","Köln",0.320346739265347,2,333,1535
"C. Puggioni","Benevento",0.318287175769228,0,15,558
"Dani Raba","Villarreal",0.308140877169649,2,191,1017
"R. Thomas","Angers",0.306242408406888,2,126,1687
"T. Delaney","Werder Bremen",0.297582690610966,3,253,2265
"J. Haberer","Freiburg",0.29701946784121,3,282,2040
"P. Verhaegh","Wolfsburg",0.295946062303074,2,156,2146
"S. Boufal","Southampton",0.287063439039684,2,498,1480
"P. Hetemaj","Chievo",0.275545810890776,3,562,2413
"B. Guillaume","Angers",0.27174630234083,1,512,941
"I. Diop","Toulouse",0.26824230928446,3,151,1808
"F. Schär","Deportivo La Coruña",0.264689652340167,2,169,1533
"Juan Cala","Getafe",0.263551721222484,2,90,1043
"Lucas Lima","Nantes",0.247118383910561,2,240,2360
"R. Krhin","Nantes",0.243682411399959,1,69,852
"S. Long","Southampton",0.241220927925042,2,192,1183
"Miguel Torres","Málaga",0.234876618558815,0,38,442
"C. Vela","Real Sociedad",0.233322843490896,1,99,514
"J. Torunarigha","Hertha BSC",0.229863530004536,1,45,547
"R. Vercoutre","Caen",0.229005571464313,0,39,1243
"P. Max","Augsburg",0.226798311989455,2,164,2217
"W. Cyprien","Nice",0.223590317874141,2,72,1125
"J. Allen","Stoke City",0.220202187325413,2,309,2357
"F. Di Santo","Schalke 04",0.218534311457915,3,402,1502
"Diego Rico","Leganés",0.217647259373393,2,201,1944
"D. Zakaria","Borussia M'gladbach",0.213417430146364,2,278,1708
"E. Pulgar","Bologna",0.211399830386085,3,183,2386
"A. Stoian","Crotone",0.204928419838893,2,255,1660
"K. Coman","Bayern München",0.204877964719799,3,274,1099
"Illarramendi","Real Sociedad",0.202906311401421,7,536,3739
"A. Benali","Crotone",0.202557504322726,1,77,653
"K. Havertz","Bayer Leverkusen",0.202385548689904,3,279,1865
