"Player","Team","MXG","Goals","Loops","Degree"
"K. Adénon","Amiens SC",-0.999307042278133,0,156,1872
"Roque Mesa","Swansea City",-1.00089348998949,0,71,664
"P. Gouano","Amiens SC",-1.00156806578104,0,126,1675
"T. Alexander-Arnold","Liverpool",-1.00309315284926,1,130,1822
"Borja García","Girona",-1.00416370865435,2,291,2191
"S. Peeters","Caen",-1.00746910593205,0,787,1840
"D. Maietta","Bologna",-1.00930390070914,0,35,331
"Gálvez","Las Palmas",-1.01056779370219,0,155,1365
"C. Schindler","Huddersfield Town",-1.01245690412225,0,134,2208
"P. Billing","Huddersfield Town",-1.01252271303906,0,68,626
"Miguel Cifuentes","Málaga",-1.01303123358264,0,17,128
"R. van Drongelen","Hamburger SV",-1.01351448084949,0,106,1030
"C. Aránguiz","Bayer Leverkusen",-1.01373248859602,1,224,2479
"K. Casteels","Wolfsburg",-1.01476591145206,0,29,1544
"Nicolas","Hellas Verona",-1.01494940796704,0,41,1743
"Bernardo","RB Leipzig",-1.01714398376453,1,136,1344
"J. Bruma","Wolfsburg",-1.01805463802862,0,59,820
"M. Büchel","Hellas Verona",-1.01840104566088,0,149,1445
"V. Grifo","Borussia M'gladbach",-1.02117596438836,0,78,592
"K. Bartley","Swansea City",-1.02170463234404,0,14,168
"Sergio Arribas","Leganés",-1.02234815794941,0,3,16
"F. Migliore","Genoa",-1.02236294241516,0,40,257
"J. Ward","Crystal Palace",-1.02378939073333,0,132,1352
"S. Bender","Bayer Leverkusen",-1.02597489375955,2,170,2183
"J. Lukaku","Lazio",-1.02611142199748,1,208,1204
"S. Zuber","Hoffenheim",-1.02619673047502,1,141,1251
"Bóveda","Athletic Club",-1.03106862938637,0,39,418
"Camacho","Wolfsburg",-1.03246893448329,0,69,796
"B. Reynet","Dijon",-1.0326057668558,0,47,1908
"Antonio Sivera","Deportivo Alavés",-1.03308235557733,0,0,17
"R. Rodríguez","Milan",-1.03408689390858,1,316,2867
"M. Jørgensen","Huddersfield Town",-1.03423432524448,0,198,2413
"A. Meret","SPAL",-1.03497970536455,0,17,476
"C. Taylor","Burnley",-1.03550724211755,0,67,648
"Nacho Gil","Las Palmas",-1.03612224440349,0,289,836
"G. Poblete","Metz",-1.03629212409385,0,317,1571
"David Alba","Getafe",-1.03644302711052,0,6,28
"F. Magnanelli","Sassuolo",-1.03687079673603,0,158,2307
"E. Zukanović","Genoa",-1.03695389564257,0,185,2244
"S. Scuffet","Udinese",-1.03837720219747,0,4,193
"F. Ceccherini","Crotone",-1.03943137689612,1,239,2131
"A. Wan-Bissaka","Crystal Palace",-1.0396176355838,0,58,466
"F. Đuričić","Benevento",-1.03968644537042,0,155,713
"David Luiz","Chelsea",-1.04152698463395,1,75,741
"B. Mee","Burnley",-1.04153003630086,0,93,1631
"J. Reine-Adelaide","Angers",-1.04165166956761,0,87,362
"I. Traoré","Borussia M'gladbach",-1.0419434610651,0,35,196
"M. Dos Santos","Leganés",-1.04274431317947,0,51,524
"E. Insúa","Stuttgart",-1.04310023333471,0,220,1643
"D. Williams","Huddersfield Town",-1.04371111620765,0,108,866
"Bruno Gama","Deportivo La Coruña",-1.04531309086258,0,26,104
"E. Imorou","Caen",-1.04807128525897,0,2,27
"Gomes","Watford",-1.04846457309679,0,31,906
"Omar Ramos","Leganés",-1.04882940388779,0,204,949
"Naldo","Espanyol",-1.0509046179377,0,31,583
"Rubén Blanco","Celta de Vigo",-1.05114127570982,0,19,931
"M. Kempf","Freiburg",-1.05138787026658,0,51,708
"L. Crosta","Cagliari",-1.05188304181934,0,2,32
"D. Zappacosta","Chelsea",-1.05230741088803,1,142,1144
"J. McClean","West Bromwich Albion",-1.05306645348503,1,416,1430
"O. Vizcarrondo","Troyes",-1.05593576740137,0,85,1109
"P. Olkowski","Köln",-1.05677699945056,0,46,278
"M. Fossati","Hellas Verona",-1.0576442963594,0,456,1528
"K. Palmer","Huddersfield Town",-1.0579632905999,0,12,113
"T. Heurtaux","Hellas Verona",-1.0590103476228,0,53,763
"G. Pegolo","Sassuolo",-1.05962736949175,0,5,45
"Sergio Álvarez","Celta de Vigo",-1.05999018838861,0,19,721
"C. Daniels","AFC Bournemouth",-1.06213411522413,1,244,2642
"D. Čop","Cagliari",-1.0633130005242,0,6,45
"T. Stavitski","Caen",-1.06472430534973,0,43,248
"J. Horn","Köln",-1.06574202899799,0,49,504
"L. Dunk","Brighton & Hove Albion",-1.0666568946225,1,280,2396
"P. Evra","West Ham United",-1.06718149345363,0,12,165
"N. Stark","Hertha BSC",-1.06774608546607,1,157,1661
"N. Zanellato","Crotone",-1.06873085063523,0,6,56
"F. Costa","SPAL",-1.06875114345291,0,134,1135
"Luna","Levante",-1.07028591186167,0,123,1400
"S. Kolašinac","Arsenal",-1.07043103995511,2,175,2005
"R. Aguilar","Montpellier",-1.0715313256984,0,479,2591
"D. Torres","Deportivo Alavés",-1.07257171241406,0,71,783
"Bruno Saltor","Brighton & Hove Albion",-1.07340730137867,0,94,1560
"Gabriel","Troyes",-1.07383177132681,0,7,57
"T. Campbell","Stoke City",-1.07435620248054,0,7,45
"William","Wolfsburg",-1.07516180002926,0,219,1652
"L. Bonucci","Milan",-1.07827526780034,2,188,2666
"B. Djimsiti","Benevento",-1.07899826551227,0,244,2273
"Vitor Hugo","Fiorentina",-1.07919670374986,1,71,949
"A. Masina","Bologna",-1.07928062382018,0,301,2533
"A. Duncan","Sassuolo",-1.07931566442346,0,241,1385
"G. Shibasaki","Getafe",-1.07993255191207,1,725,1636
"Cafú","Metz",-1.08145921112225,0,53,475
"Sergio Mora","Getafe",-1.08212327953845,0,38,550
"S. Özcan","Köln",-1.08241721060278,0,194,1522
"Adrián Diéguez","Deportivo Alavés",-1.08370505248968,0,47,306
"C. Cathcart","Watford",-1.08479677521734,0,22,273
"N. Murru","Sampdoria",-1.08552487762404,0,93,1173
"D. Dainelli","Chievo",-1.08568127321848,0,96,1065
"U. Garcia","Werder Bremen",-1.08603930495622,0,7,51
"I. Strinić","Sampdoria",-1.09101037500545,0,119,1148
"F. Chafik","Dijon",-1.09212771029843,0,156,1334
"F. Fazio","Roma",-1.09290260861303,2,262,2661
"Fernandinho","Manchester City",-1.09475094017239,5,311,3827
"K. Jakob","Augsburg",-1.09910766874543,0,6,73
"J. Schuster","Freiburg",-1.10053794293322,0,263,1336
"A. Ekdal","Hamburger SV",-1.101073707311,0,121,951
"E. Muñoz","Leganés",-1.10214867532125,0,76,824
"Bojan","Stoke City",-1.10353404982709,0,11,48
"B. Sankoh","Caen",-1.10373333778625,0,588,1739
"D. Kohr","Bayer Leverkusen",-1.10613214628074,1,356,1753
"Dídac Vilá","Espanyol",-1.1072714109165,0,458,1202
"A. Deiola","Cagliari",-1.10744858323608,0,492,936
"A. Mirante","Bologna",-1.10858180425362,0,42,1446
"N. Dyer","Swansea City",-1.11153497507382,0,181,994
"D. Baier","Augsburg",-1.11181895040863,0,241,2315
"Han Kwang-Song","Cagliari",-1.11218307598949,0,330,625
"A. Oyongo","Montpellier",-1.11412565508442,0,19,151
"Jorginho","Napoli",-1.11457020619082,2,189,3781
"L. Britton","Swansea City",-1.11546295246376,0,17,196
"K. Sigþórsson","Nantes",-1.11608042876867,0,6,23
"T. Carrique","Bordeaux",-1.11615350079364,0,3,72
"M. Frantz","Freiburg",-1.11804395556453,0,63,513
"E. Torrasi","Milan",-1.11858263936574,0,0,10
"S. Kaikai","Crystal Palace",-1.11902858490157,0,2,16
"Y. Benzia","Lille",-1.12002026243954,1,375,2249
"Toño","Levante",-1.1202481708649,0,116,821
"D. Opare","Augsburg",-1.12103978660116,0,140,963
"C. Adam","Stoke City",-1.12106934608823,0,272,742
"N. Aké","AFC Bournemouth",-1.12164821375927,2,196,2435
"S. Gentiletti","Genoa",-1.12256245649405,0,20,301
"J. Puncheon","Crystal Palace",-1.12361812564905,0,62,413
"M. Mavraj","Hamburger SV",-1.12665219914106,0,88,1069
"N. Tomović","Chievo",-1.12986156648969,0,162,1592
"D. McNeil","Burnley",-1.12994400687262,0,0,1
"M. Sampirisi","Crotone",-1.13025207794431,0,368,1899
"G. Lo Celso","PSG",-1.13116169515752,4,318,2457
"M. Hinteregger","Augsburg",-1.13301381307008,0,203,1986
"Cédric Soares","Southampton",-1.13526487415538,0,171,2366
"S. Falette","Metz",-1.13815864513219,0,5,82
"A. Santurro","Bologna",-1.13903611101387,0,1,60
"M. Zeegelaar","Watford",-1.13970697372974,0,109,842
"J. El Yamiq","Genoa",-1.14008223255087,0,20,247
"O. Haddadi","Dijon",-1.14050940396805,1,294,2106
"Fernando Llorente","Tottenham Hotspur",-1.1408442518939,1,516,1037
"A. N'Dour","Strasbourg",-1.14239306012519,0,21,200
"M. Hefele","Huddersfield Town",-1.14432206637457,0,5,24
"E. Schelotto","Brighton & Hove Albion",-1.14441770864539,0,120,1082
"Renato Sanches","Swansea City",-1.14477575483352,0,281,941
"L. Bénes","Borussia M'gladbach",-1.14486514526334,0,5,47
"Edu Expósito","Deportivo La Coruña",-1.15255690349147,0,8,75
"T. Ndombèlé","Amiens SC",-1.1554617034202,0,53,225
"J. Marié","Dijon",-1.15578782836451,1,133,1399
"M. Tahrat","Angers",-1.15606211743341,0,64,376
"Jesús Navas","Sevilla",-1.15759277308598,1,265,1499
"S. Cook","AFC Bournemouth",-1.15858248886502,2,354,2341
"Marçal","Olympique Lyonnais",-1.16091927670209,0,112,1358
"A. Cresswell","West Ham United",-1.16121333901322,1,333,2551
"Rogério","Sassuolo",-1.16189262263561,0,352,1054
"A. Sørloth","Crystal Palace",-1.1639903229742,0,51,238
"M. Egbo","Borussia M'gladbach",-1.16443735000144,0,1,5
"Y. El Ghanassy","Nantes",-1.16583791653102,0,350,1009
"Lekue","Athletic Club",-1.16772374608615,0,276,1948
"J. Elez","Hannover 96",-1.1690871870901,0,60,561
"M. Gajić","Bordeaux",-1.17082688206142,0,20,259
"A. Mariappa","Watford",-1.17174124538417,0,108,1549
"N. Mukiele","Montpellier",-1.17228922851928,0,332,2622
"F. Moubandje","Toulouse",-1.17357838377632,0,136,1298
"R. Framberger","Augsburg",-1.17429340376952,0,58,544
"F. Hübner","Hannover 96",-1.17467207483253,0,16,257
"S. N'Zonzi","Sevilla",-1.17621551948878,1,171,2267
"A. McCarthy","Southampton",-1.17670993869228,0,19,579
"A. Abeid","Levante",-1.17724287046713,0,7,61
"S. Bell","Mainz 05",-1.17848871123249,1,170,1514
"B. Hübner","Hoffenheim",-1.17905842571929,3,192,2146
"J. Gouweleeuw","Augsburg",-1.18009561256304,0,182,1801
"J. Holebas","Watford",-1.18178543355202,0,221,2136
"Saúl","Atlético Madrid",-1.18224380206425,2,384,2890
"G. Volpicelli","Benevento",-1.18251967940034,0,0,4
"G. Pizarro","Sevilla",-1.18418732372675,1,188,1802
"M. Targett","Southampton",-1.18433944985509,0,10,148
"L. Mazzitelli","Sassuolo",-1.1846036974581,0,369,1182
"C. Biraghi","Fiorentina",-1.18541567807256,1,176,2451
"E. Cecchini","Málaga",-1.18654276847508,0,215,382
"B. Matuidi","Juventus",-1.18932465600233,3,210,2067
"Tito","Leganés",-1.19187672635348,0,446,1041
"Rafael Tolói","Atalanta",-1.19231375111485,1,228,2348
"Jordi Alba","Barcelona",-1.19263580460552,2,189,3030
"A. Barreca","Torino",-1.19431080478262,0,34,383
"M. Bani","Chievo",-1.19448702138243,0,67,965
"Dani García","Eibar",-1.1944978122915,0,174,2200
"K. Bérigaud","Montpellier",-1.19576424346474,0,31,154
"I. Afellay","Stoke City",-1.1966066428555,0,211,403
"Iván Alejo","Eibar",-1.19817877847231,1,889,2005
"J. Seri","Nice",-1.19983827631063,2,248,3327
"S. Langkamp","Werder Bremen",-1.20025071316127,0,25,302
"A. Arribas","Deportivo La Coruña",-1.20053329161885,0,20,178
"L. Kurzawa","PSG",-1.20124217486728,2,148,1569
"A. Consigli","Sassuolo",-1.20184103376812,0,29,1340
"N. de Jong","Mainz 05",-1.20300230971759,0,37,484
"P. Schwegler","Hannover 96",-1.20317552699646,0,168,1935
"Y. Bisseck","Köln",-1.20333251279214,0,8,112
"O. Sorg","Hannover 96",-1.20349907147249,0,99,1149
"D. Boldor","Hellas Verona",-1.20498708139746,0,3,57
"H. Diallo","Metz",-1.20522462238887,0,0,5
"D. Simpson","Leicester City",-1.20623273950901,0,114,1677
"B. Lecomte","Montpellier",-1.20865823929614,0,40,1335
"C. Stanko","Freiburg",-1.2091614201837,0,16,185
"D. Biraschi","Genoa",-1.21236243602073,0,192,1525
"J. Stryger Larsen","Udinese",-1.21257688047604,1,375,2218
"B. Pavard","Stuttgart",-1.21261678710869,1,182,2688
"De La Bella","Real Sociedad",-1.21290093581501,0,113,1421
